序号,书名,评分,价格,出版社,url
33101,バガボンド（4）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/2287570/
33102,バガボンド（22）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/2294964/
33106,バガボンド（26）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/2287551/
33113,浪人劍客(26),9.6 ,150元,尖端出版社,https://book.douban.com/subject/3114636/
33422,中国近百年政治史,9.6 ,45.00元,商务印书馆,https://book.douban.com/subject/10532831/
33436,汉魏两晋南北朝佛教史,9.6 ,58.00元,北京大学出版社,https://book.douban.com/subject/5921590/
33456,世说新语笺疏,9.6 ,68.00元,中华书局,https://book.douban.com/subject/6390999/
33482,佩文诗韵·词林正韵·中原音韵,9.6 ,18.00元,上海古籍出版社,https://book.douban.com/subject/6745117/
34243,3分钟面部瑜伽,9.6 ,29.80元,辽宁科学技术出版社,https://book.douban.com/subject/10416558/
34485,TheBrothersKaramazov,9.6 ,138.00元,W.W.Norton&Company,https://book.douban.com/subject/2228038/
34628,亲子关系,9.6 ,33.00元,清华大学出版社,https://book.douban.com/subject/1448578/
34964,肖邦钢琴曲选.2,9.6 ,26.80元,人民音乐出版社,https://book.douban.com/subject/1095430/
35013,奈良美智全作品集１９８４～２０１０,9.6 ,"29,400",美術出版社,https://book.douban.com/subject/6856395/
35083,MagnumContactSheets,9.6 ,$169.50 ,Thames&Hudson,https://book.douban.com/subject/6809824/
35243,最美的科普·四季时钟系列,9.6 ,16.50元,万卷出版公司,https://book.douban.com/subject/3709812/
35440,情迷意大利美食：一学就会的意大利餐招牌菜,9.6 ,48,辽宁科学技术出版社,https://book.douban.com/subject/24876861/
35685,AfterTheDance,9.6 ,$23.67 ,NickHernBooks,https://book.douban.com/subject/5254365/
35712,机器猫哆啦A梦（共45册）,9.6 ,180.00元,吉林美术出版社,https://book.douban.com/subject/1102403/
35801,可怕的科学（共57册）,9.6 ,580.00元,北京少年儿童出版社,https://book.douban.com/subject/1260295/
35829,TristesTropiques,9.6 ,USD20.00,Penguin,https://book.douban.com/subject/1370298/
35834,AlexanderMcQueen,9.6 ,CAD44.17,MetropolitanMuseumofArt,https://book.douban.com/subject/5397340/
36020,DoctorWho:TheWriter'sTale,9.6 ,USD19.99,RandomHouseUK,https://book.douban.com/subject/4162952/
36055,Hamlet,9.6 ,20,WordsworthEditionsLtd,https://book.douban.com/subject/1700473/
36164,学佛问答（全二册）,9.6 ,68.00元,线装书局,https://book.douban.com/subject/6744952/
36206,瑜伽师地论,9.6 ,126.00元,西北大学出版社,https://book.douban.com/subject/1468201/
37009,傀儡馬戲團29,9.6 ,80元,青文,https://book.douban.com/subject/3118549/
37010,傀儡馬戲團28,9.6 ,80元,青文,https://book.douban.com/subject/3118548/
37043,怎么抓特务,9.6 ,22.00元,群众出版社,https://book.douban.com/subject/3878668/
37209,荒川アンダーザブリッジ3,9.6 ,530（税込）,スクウェア・エニックス,https://book.douban.com/subject/3000193/
37217,明式家具研究,9.6 ,1280,香港三联出版社,https://book.douban.com/subject/1074993/
37314,最後のドアを閉めろ!2,9.6 ,JPY650,ビブロス,https://book.douban.com/subject/11502872/
37391,囀る鳥は羽ばたかない2,9.6 ,JPY730,大洋図書,https://book.douban.com/subject/25733858/
37448,资治通鉴,9.6 ,788.00元,中华书局,https://book.douban.com/subject/3746915/
37655,幽默儿童文学名著译丛（全6册）,9.6 ,10.00元,浙江少年儿童出版社,https://book.douban.com/subject/2010066/
37744,四葉妹妹!(6),9.6 ,NT$120,臺灣角川,https://book.douban.com/subject/3196163/
37920,脂砚斋重评石头记庚辰校本（全三卷）,9.6 ,108.00元,作家出版社,https://book.douban.com/subject/2139207/
37923,石头记,9.6 ,100.00元,漓江出版社,https://book.douban.com/subject/4264564/
37925,脂砚斋重评石头记(全四册),9.6 ,280.00元,人民文学出版社,https://book.douban.com/subject/1956965/
38031,尼采著作全集（第13卷）,9.6 ,52,商务印书馆,https://book.douban.com/subject/4900205/
38175,機動戰士鋼彈桑(04),9.6 ,120元,台灣角川,https://book.douban.com/subject/4006471/
38249,松风,9.6 ,144元,中国水利水电出版社,https://book.douban.com/subject/26469245/
38273,KazuakiArtworks,9.6 ,"2,940円",まんだらけ,https://book.douban.com/subject/4838479/
38281,貞本義行画集ＣＡＲＭＩＮＥ【完全限定生産版】,9.6 ,13650円(税込),角川グループパブリッシング,https://book.douban.com/subject/3434308/
38285,松井冬子二,9.6 ,"4,515円(税込)",河出書房新社,https://book.douban.com/subject/3096523/
38356,灌篮高手18,9.6 ,7.50元,长春出版社,https://book.douban.com/subject/1625658/
38362,灌篮高手3,9.6 ,7.50元,长春出版社,https://book.douban.com/subject/1608300/
38363,灌篮高手2,9.6 ,7.50元,长春出版社,https://book.douban.com/subject/1608299/
38370,浪人劍客(24),9.6 ,150元,尖端出版社,https://book.douban.com/subject/3114606/
38376,浪人劍客(25),9.6 ,150元,尖端出版社,https://book.douban.com/subject/3114635/
38377,浪人劍客(27),9.6 ,150元,尖端出版社,https://book.douban.com/subject/3114638/
38379,バガボンド（8）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/3112997/
38380,バガボンド（10）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/3113000/
38383,バガボンド（23）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/2294961/
38384,バガボンド（17）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/3113151/
38386,バガボンド（15）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/3113149/
38387,バガボンド（29）,9.6 ,560円(税込),講談社,https://book.douban.com/subject/3244254/
38391,バガボンド（13）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/3113006/
38392,バガボンド（16）,9.6 ,524円(税込550円),講談社,https://book.douban.com/subject/3113150/
38399,浪人劍客(30),9.6 ,180元,尖端出版社,https://book.douban.com/subject/3730701/
38401,浪人劍客(28),9.6 ,150元,尖端出版社,https://book.douban.com/subject/3114640/
38600,莎士比亚全集(三),9.6 ,33.25元,人民文学出版社,https://book.douban.com/subject/1093821/
38652,雍正：清世宗文物大展,9.6 ,新台币1100元,國立故宮博物院,https://book.douban.com/subject/4108772/
38785,蒋勋细说红楼梦有声书卷贰,9.6 ,390.00元,中国国际广播音像出版社,https://book.douban.com/subject/5913470/
39039,TheBestofOscarWilde,9.6 ,USD5.95,SignetClassics,https://book.douban.com/subject/2472990/
39252,海水鱼图鉴,9.6 ,49.80元,辽宁科学技术出版社,https://book.douban.com/subject/6532872/
39256,无师自通达人学美甲,9.6 ,29.80元,辽宁科学技术出版社,https://book.douban.com/subject/6730314/
39467,塔希里亚故事集Ⅷ,9.6 ,42.00元,接力出版社,https://book.douban.com/subject/26545120/
39827,初小部分-共和国教科书-共六册,9.6 ,240.00元,新星出版社,https://book.douban.com/subject/10342885/
39835,柳如是别传(上、中、下)(二版),9.6 ,163,生活·读书·新知三联书店,https://book.douban.com/subject/4122588/
40070,黄金の川岸坂の上の魔法使い3,9.6 ,JPY730,大洋図書,https://book.douban.com/subject/21334427/
40180,神秘的楼梯-野蔷薇村的故事,9.6 ,8.50元,明天出版社,https://book.douban.com/subject/2160315/
40420,跟我走吧？,9.6 ,29.80元,明天出版社,https://book.douban.com/subject/6601261/
40596,What'sMichael(5),9.6 ,30,文化传信有限公司,https://book.douban.com/subject/2380576/
40599,What'sMichael(6),9.6 ,30,文化传信有限公司,https://book.douban.com/subject/2380577/
40600,What'sMichael(7),9.6 ,30,文化传信有限公司,https://book.douban.com/subject/2380580/
40748,地藏菩萨本愿经讲记,9.6 ,68.00元,北方文艺,https://book.douban.com/subject/5390122/
40753,龙树六论,9.6 ,35.00元,民族出版社,https://book.douban.com/subject/1536833/
41009,唐宋四大家的道论与文学,9.6 ,15.30元,东方出版社,https://book.douban.com/subject/1248362/
41108,人人都想知道的事物的构造,9.6 ,25.00元,辽宁科学技术出版社,https://book.douban.com/subject/23706074/
41109,手作达人教室每天一款靓包包,9.6 ,28.00元,河南科学技术,https://book.douban.com/subject/6946589/
41245,blur3862days,9.6 ,USD17.95,VirginBooks,https://book.douban.com/subject/1771654/
41288,TheFellowshipoftheRing,9.6 ,USD27.50,HoughtonMifflinHarcourt,https://book.douban.com/subject/2674176/
41348,囀る鳥は羽ばたかない1,9.6 ,JPY680,大洋図書,https://book.douban.com/subject/20416178/
41388,それでも町は廻っている09,9.6 ,560JPY,少年画報社,https://book.douban.com/subject/6810775/
41432,怎样做保安,9.6 ,24.00元,中国时代经济出版社,https://book.douban.com/subject/3982722/
41870,资治通鉴（全10册）,9.6 ,560.00元,中华书局,https://book.douban.com/subject/1262857/
41907,神之山嶺04,9.6 ,200元,台灣東販,https://book.douban.com/subject/3437558/
42095,四葉妹妹!(10),9.6 ,48.00元,臺灣角川,https://book.douban.com/subject/6082247/
42096,四葉妹妹！11,9.6 ,NT$120,台灣角川,https://book.douban.com/subject/10602109/
42147,红楼梦（上下）,9.6 ,49.00元,WritersPublishingHouse,https://book.douban.com/subject/1833513/
42213,脂砚斋重评石头记,9.6 ,1180.00元,上海古籍出版社,https://book.douban.com/subject/1818143/
42234,红楼梦,9.6 ,70.00元,人民文学出版社,https://book.douban.com/subject/1427990/
42357,Sunny01,9.6 ,NT$240,尖端出版社,https://book.douban.com/subject/24811096/
42358,竹光侍3,9.6 ,900円（税込）,小学館,https://book.douban.com/subject/2336651/
42359,竹光侍4,9.6 ,900円（税込）,小学館,https://book.douban.com/subject/3191048/
42550,デスノート4,9.6 ,410円（税込）,集英社,https://book.douban.com/subject/1776471/
42581,蟲師08,9.6 ,120(元),東販,https://book.douban.com/subject/2143945/
42582,蟲師09,9.6 ,120(元),東販,https://book.douban.com/subject/3137544/
42587,蟲師(6),9.6 ,590円（税別）,講談社,https://book.douban.com/subject/1799232/
42590,SLAMDUNKスラムダンク完全版（5）,9.6 ,980円,集英社,https://book.douban.com/subject/2978565/
42613,REAL#10,9.6 ,$35 ,天下出版(國際)有限公司,https://book.douban.com/subject/5401945/
42645,ONEPIECE35,9.6 ,JPY410,集英社,https://book.douban.com/subject/2285300/
42647,ONEPIECE14,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285346/
42656,ヒカルの碁完全版13,9.6 ,"1,000円（税込）",集英社,https://book.douban.com/subject/4065530/
42673,新撰组异闻PeaceMaker4,9.6 ,NT$90,东立出版社,https://book.douban.com/subject/3310440/
42676,PEACEMAKER鐵(6),9.6 ,600円(税込),マッグガーデン,https://book.douban.com/subject/5356990/
42703,超级漫画CG技法完全自学教程：线稿+透视+光影+上色+质感,9.6 ,59.80元,人民邮电出版社,https://book.douban.com/subject/26416799/
42708,林中漫步,9.6 ,39.80元,人民邮电出版社,https://book.douban.com/subject/26577650/
42732,三国志集解（全八册）,9.6 ,480.00元,上海古籍出版社,https://book.douban.com/subject/4162009/
42745,故宫古琴,9.6 ,"1,680.00",紫禁城出版社,https://book.douban.com/subject/2046973/
42900,錢賓四先生全集（全54冊）,9.6 ,TWD35000,聯經出版事業股份有限公司,https://book.douban.com/subject/1762024/
43995,波比的宝宝-野蔷薇村的故事,9.6 ,8.50元,明天出版社,https://book.douban.com/subject/2171334/
44129,飘（上.下卷）,9.6 ,36.00元,凤凰出版传媒集团，译林出版社,https://book.douban.com/subject/3030894/
44468,红楼梦,9.6 ,54.00元,齐鲁书社,https://book.douban.com/subject/1427256/
44585,红楼梦,9.6 ,22.00元,上海古籍出版社,https://book.douban.com/subject/1160907/
44945,無限住人23,9.6 ,120元,东立出版社,https://book.douban.com/subject/3283528/
44948,ダンジョン飯2巻,9.6 ,JPY670,KADOKAWA,https://book.douban.com/subject/26438476/
45002,痔疮揭秘,9.6 ,16.80元,广东经济出版社,https://book.douban.com/subject/1445810/
45050,NO．6〔ナンバーシックス〕＃6,9.6 ,500,講談社,https://book.douban.com/subject/6436498/
45226,青い花5巻,9.6 ,952円+税,太田出版,https://book.douban.com/subject/4291966/
45227,青い花6巻,9.6 ,"1,000円",太田出版,https://book.douban.com/subject/10461234/
45585,銀の匙SilverSpoon2,9.6 ,JPY440,小学館,https://book.douban.com/subject/6920170/
45594,四叶妹妹12,9.6 ,NT120元,臺灣角川,https://book.douban.com/subject/25724425/
45690,脂砚斋重评石头记,9.6 ,1000,人民文学出版社,https://book.douban.com/subject/1576550/
45789,Sunny03,9.6 ,NT$240,尖端出版社,https://book.douban.com/subject/25921377/
45839,月刊少女野崎くん(3),9.6 ,JPY500,スクウェア・エニックス,https://book.douban.com/subject/24382426/
45861,機動戰士GundamTheOrigin(10),9.6 ,130元,角川書店,https://book.douban.com/subject/2245057/
45866,機動戰士GundamTheOrigin(11),9.6 ,130元,台灣角川,https://book.douban.com/subject/2245107/
45876,火鳳燎原29,9.6 ,NT$90,东立出版社,https://book.douban.com/subject/3024706/
45958,青春ソバット4,9.6 ,630,小学館,https://book.douban.com/subject/5919091/
45961,ソラニン1,9.6 ,530,小学館,https://book.douban.com/subject/3735218/
46032,蟲師(5),9.6 ,590円（税別）,講談社,https://book.douban.com/subject/1799230/
46033,蟲師(7)アフタヌーンKC(404),9.6 ,590円（税別）,講談社,https://book.douban.com/subject/1799234/
46034,蟲師(3),9.6 ,JPY562（税別）,講談社,https://book.douban.com/subject/1799225/
46035,蟲師8,9.6 ,590円（税別）,講談社,https://book.douban.com/subject/2213013/
46036,蟲師(4),9.6 ,JPY562（税別）,講談社,https://book.douban.com/subject/1799227/
46049,SLAMDUNKスラムダンク完全版（3）,9.6 ,980円,集英社,https://book.douban.com/subject/2978561/
46060,REAL(06),9.6 ,NT$150元,尖端出版社,https://book.douban.com/subject/3113731/
46061,REAL(07),9.6 ,NT$150元,尖端出版社,https://book.douban.com/subject/3113733/
46063,REAL(09),9.6 ,180元,尖端出版社,https://book.douban.com/subject/4055480/
46065,REAL(10),9.6 ,180元,尖端出版社,https://book.douban.com/subject/5355834/
46075,スラムダンク（12）,9.6 ,410円（税込）,集英社,https://book.douban.com/subject/3901983/
46081,ONEPIECE27,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285319/
46083,ONEPIECE17,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285341/
46085,ONEPIECE4,9.6 ,51.00元,集英社,https://book.douban.com/subject/2121686/
46093,ONEPIECE~航海王~52,9.6 ,100元,东立出版社,https://book.douban.com/subject/3406668/
46097,ONEPIECE60,9.6 ,420円（税込）,集英社,https://book.douban.com/subject/5314950/
46098,ONEPIECE61,9.6 ,420円（税込）,集英社,https://book.douban.com/subject/5504006/
46109,ヒカルの碁完全版2,9.6 ,"1,000円（税込）",集英社,https://book.douban.com/subject/3507227/
46264,三才圖會（全三冊）,9.6 ,398.00元,上海古籍出版社,https://book.douban.com/subject/2140639/
46438,梦想与路径,9.6 ,198.00元,商务印书馆,https://book.douban.com/subject/19962889/
46803,哈农钢琴练指法,9.6 ,20.70元,湖南文艺出版社,https://book.douban.com/subject/1277086/
46885,傅雷译文集,9.6 ,380,安徽文艺出版社,https://book.douban.com/subject/1596320/
46913,子不語03,9.6 ,NT$180,尖端出版社,https://book.douban.com/subject/11516112/
46994,ハイキュー!!11,9.6 ,JPY432,集英社,https://book.douban.com/subject/25869213/
47067,皮德漫画全集,9.6 ,20.00元,译林出版社,https://book.douban.com/subject/1001771/
47076,机器猫哆啦A梦(45),9.6 ,5.95,吉林美术出版社,https://book.douban.com/subject/1204913/
47088,资治通鉴（全20册）（重排本）,9.6 ,498.00元,中华书局,https://book.douban.com/subject/6790302/
47123,三国演义(全二册),9.6 ,45.00元,齐鲁书社,https://book.douban.com/subject/1647087/
47189,红楼梦（上下册）,9.6 ,68.00元,岳麓书社,https://book.douban.com/subject/1844794/
47288,火鳥(14),9.6 ,95(元),時報文化,https://book.douban.com/subject/3137769/
47292,火鳥(15),9.6 ,95(元),時報文化,https://book.douban.com/subject/3137770/
47294,火鳥(8),9.6 ,95(元),時報文化,https://book.douban.com/subject/3137762/
47657,異獸魔都(11),9.6 ,120元,長鴻,https://book.douban.com/subject/3172190/
47740,唐欧阳询书千字文,9.6 ,6.00元,文物出版社,https://book.douban.com/subject/2096916/
47840,Bの劇場～LeTheatredeB～,9.6 ,JPY2400,インデックス・コミュニケーションズ,https://book.douban.com/subject/21351621/
47866,憂鬱な朝2初回限定版(キャラコミックス),9.6 ,820円,徳間書店,https://book.douban.com/subject/4831670/
48059,狼与香辛料文仓十画集,9.6 ,52.00元,湖南美术出版社,https://book.douban.com/subject/25758449/
48075,狼與辛香料17,9.6 ,NT$180,台灣國際角川書店,https://book.douban.com/subject/10438814/
48110,ヴィンランド・サガ3,9.6 ,JPY590,講談社,https://book.douban.com/subject/3926128/
48111,ヴィンランド・サガ4,9.6 ,JPY590,講談社,https://book.douban.com/subject/3926129/
48112,ヴィンランド・サガ6,9.6 ,JPY590,講談社,https://book.douban.com/subject/3926134/
48114,ヴィンランド・サガ5,9.6 ,JPY590,講談社,https://book.douban.com/subject/3926133/
48213,火鳳燎原32,9.6 ,95元,东立出版社,https://book.douban.com/subject/3223519/
48214,火鳳燎原30,9.6 ,NT$90,东立出版社,https://book.douban.com/subject/3025600/
48330,史努比六十周年,9.6 ,198.00元,中信出版社,https://book.douban.com/subject/4714003/
48338,史努比典藏漫画全集,9.6 ,398.00元,21世纪出版社,https://book.douban.com/subject/4005499/
48445,銀の匙SilverSpoon10,9.6 ,JPY450,小学館,https://book.douban.com/subject/25779253/
48453,UndertheRose(4)春の賛歌,9.6 ,840円（税込）,幻冬舎,https://book.douban.com/subject/3150001/
48455,UndertheRose(3)春の賛歌,9.6 ,840円（税込）,幻冬舎,https://book.douban.com/subject/3149999/
48476,さらい屋五葉6,9.6 ,630,小学館,https://book.douban.com/subject/3695194/
48477,さらい屋五葉4,9.6 ,630（税込）,小学館,https://book.douban.com/subject/3262309/
48479,画帖・さらい屋五葉,9.6 ,JPY1350,小学館,https://book.douban.com/subject/7007699/
48564,脂硯齋重評石頭記：己卯本,9.6 ,250.00元,人民文学出版社,https://book.douban.com/subject/4721427/
48591,3月のライオン5,9.6 ,510円(税込),白泉社,https://book.douban.com/subject/5314968/
48592,3月的獅子(05),9.6 ,NT$120,尖端出版社,https://book.douban.com/subject/21322424/
48697,新世界より（下）,9.6 ,JPY830,講談社,https://book.douban.com/subject/10527006/
48772,君と僕。2,9.6 ,55.00元,スクウェア・エニックス,https://book.douban.com/subject/5388051/
48773,君と僕。1,9.6 ,420円,スクウェア・エニックス,https://book.douban.com/subject/5388053/
48793,JOJOA-GO!GO!,9.6 ,JPY6800,集英社,https://book.douban.com/subject/1466550/
48839,スラムダンク（6）,9.6 ,410円（税込）,集英社,https://book.douban.com/subject/3901977/
48840,スラムダンク（5）,9.6 ,410円（税込）,集英社,https://book.douban.com/subject/3901976/
48843,スラムダンク（9）,9.6 ,410円（税込）,集英社,https://book.douban.com/subject/3901980/
48851,ONEPIECE28,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285317/
48854,ONEPIECE~航海王~55,9.6 ,110元,东立出版社,https://book.douban.com/subject/3921226/
48855,ONEPIECE~航海王~53,9.6 ,100元,东立出版社,https://book.douban.com/subject/3627374/
48856,ONEPIECE~航海王~51,9.6 ,100元,东立出版社,https://book.douban.com/subject/3243546/
48858,ONEPIECE~航海王~54,9.6 ,100元,东立出版社,https://book.douban.com/subject/3822574/
48863,ONEPIECE15,9.6 ,410円（税込）,集英社,https://book.douban.com/subject/2285345/
48864,ONEPIECE~航海王~46,9.6 ,95(元),东立出版社,https://book.douban.com/subject/3130332/
48865,ONEPIECE~航海王~48,9.6 ,95(元),东立出版社,https://book.douban.com/subject/3130336/
48867,ONEPIECE~航海王~49,9.6 ,95(元),东立出版社,https://book.douban.com/subject/3130337/
48878,ONEPIECE8,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285355/
48879,ONEPIECE5,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285358/
49241,デュラララ!!×4,9.6 ,641,電撃文庫,https://book.douban.com/subject/4260619/
49243,デュラララ!!×3,9.6 ,JPY683,メディアワークス,https://book.douban.com/subject/4206692/
49252,夏目友人帳5,9.6 ,JP￥390+税,白泉社,https://book.douban.com/subject/3176763/
49254,夏目友人帳6,9.6 ,JP￥390+税,白泉社,https://book.douban.com/subject/3176767/
49258,夏目友人帳第7巻花とゆめCOMICS,9.6 ,52.00元,白泉社,https://book.douban.com/subject/3536133/
49325,龙与地下城玩家手册3.5版,9.6 ,540.00元（共三册）,汕头大学出版社,https://book.douban.com/subject/6868968/
49331,豁然头落,9.6 ,45.00元,随便出版计划,https://book.douban.com/subject/10523026/
49446,傅雷译罗曼·罗兰名作集,9.6 ,100.00元,河南人民出版社,https://book.douban.com/subject/1737239/
49507,3月のライオン4,9.6 ,510円（税込）,白泉社,https://book.douban.com/subject/4816742/
49567,卡尔文与霍布斯,9.6 ,16.00元,译林出版社,https://book.douban.com/subject/1045558/
49579,机器猫哆啦A梦28,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204894/
49581,机器猫哆啦A梦39,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204877/
49589,机器猫哆啦A梦24,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204892/
49591,机器猫哆啦A梦31,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204879/
49593,机器猫哆啦A梦36,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204882/
49625,红楼梦,9.6 ,34.00元,三秦出版社,https://book.douban.com/subject/1202197/
49754,火鳥(6),9.6 ,95(元),時報文化,https://book.douban.com/subject/3137757/
49755,火鳥(5),9.6 ,95(元),時報文化,https://book.douban.com/subject/3137755/
49934,文选,9.6 ,198.00元,中华书局,https://book.douban.com/subject/1423254/
50026,钢之炼金术师26,9.6 ,9.80元,中国少儿,https://book.douban.com/subject/6025719/
50027,钢之炼金术师25,9.6 ,9.80元,中国少年儿童新闻出版总社，中国少年儿童出版社,https://book.douban.com/subject/5402057/
50028,钢之炼金术师24,9.6 ,9.80元,中国少年儿童出版社,https://book.douban.com/subject/4827468/
50029,钢之炼金术师23,9.6 ,8.70元,中国少年儿童出版社,https://book.douban.com/subject/4258757/
50030,钢之炼金术师21,9.6 ,8.70元,中国少年儿童出版社,https://book.douban.com/subject/3887504/
50031,钢之炼金术师11-15,9.6 ,43.50元,中国少儿,https://book.douban.com/subject/3413430/
50032,钢之炼金术师,9.6 ,43.50元,中国少年儿童新闻出版总社，中国少年儿童出版社,https://book.douban.com/subject/3413429/
50252,フラワー・オブ・ライフ2,9.6 ,546円（税込）,新書館,https://book.douban.com/subject/3536804/
50287,傘をもたない蟻たちは,9.6 ,1404,角川書店,https://book.douban.com/subject/26352518/
50314,BACCANO！大騷動！03,9.6 ,NT$180,台灣角川,https://book.douban.com/subject/3989206/
50433,火鳳燎原31,9.6 ,95元,东立出版社,https://book.douban.com/subject/3128368/
50626,UndertheRose6―春の賛歌,9.6 ,840円（税込）,幻冬舎,https://book.douban.com/subject/3852291/
50627,UndertheRose7春の賛歌,9.6 ,945円（税込）,幻冬舎,https://book.douban.com/subject/6584502/
50658,沈从文别集,9.6 ,711.00元,重庆大学出版社/楚尘文化,https://book.douban.com/subject/6718436/
50709,冬日温暖手工,9.6 ,26.80元,中国民族摄影艺术出版社,https://book.douban.com/subject/20444489/
50840,新世纪福音战士12,9.6 ,15.00元,湖南美术出版社,https://book.douban.com/subject/10791516/
50872,少年同盟9,9.6 ,NT95,东立出版社,https://book.douban.com/subject/6313268/
50873,少年同盟8,9.6 ,95NT,东立出版社,https://book.douban.com/subject/5260160/
50874,少年同盟7,9.6 ,NT95,东立出版社,https://book.douban.com/subject/4170878/
50876,少年同盟5,9.6 ,NT100,东立出版社,https://book.douban.com/subject/3189404/
50895,ジョジョリオン3,9.6 ,420円（税込）,集英社,https://book.douban.com/subject/11602710/
50954,ONEPIECE13,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285348/
50961,ONEPIECE16,9.6 ,51.00元,集英社,https://book.douban.com/subject/2285343/
50983,NaturalHistory,9.6 ,USD50.00,DK,https://book.douban.com/subject/5476682/
51172,夏目友人帳8,9.6 ,420円（税込）,白泉社,https://book.douban.com/subject/4095063/
51174,夏目友人帳11,9.6 ,420円（税込）,白泉社,https://book.douban.com/subject/5964832/
51415,卡尔文与跳跳虎,9.6 ,20.00元,南海出版公司,https://book.douban.com/subject/1103979/
51419,机器猫哆啦A梦12,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595919/
51420,机器猫哆啦A梦(15),9.6 ,5.95元,吉林美术出版社,https://book.douban.com/subject/1232312/
51422,机器猫哆啦A梦43,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204896/
51423,机器猫哆啦A梦30,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1204883/
51498,LesFleursduMal,9.6 ,EUR4.10,Gallimard,https://book.douban.com/subject/1477898/
51875,残酷な神が支配する―萩尾望都イラスト集,9.6 ,2600円,小学館,https://book.douban.com/subject/5949389/
51895,西洋骨董洋菓子店1,9.6 ,520円（税込）,新書館,https://book.douban.com/subject/4306354/
52075,机器猫哆啦A梦7,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595914/
52076,机器猫哆啦A梦8,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595915/
52077,机器猫哆啦A梦9,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595916/
52078,机器猫哆啦A梦10,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595917/
52079,机器猫哆啦A梦6,9.6 ,8.00元,"
",https://book.douban.com/subject/1595913/
52080,机器猫哆啦A梦5,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595912/
52081,机器猫哆啦A梦13,9.6 ,8.00元,吉林美术出版社,https://book.douban.com/subject/1595920/
52126,銀魂41,9.6 ,NT$95,东立出版社,https://book.douban.com/subject/10468193/
52127,銀魂42,9.6 ,NTD95元,东立出版社,https://book.douban.com/subject/10457107/
52128,銀魂43,9.6 ,NT$95,东立出版社,https://book.douban.com/subject/10481130/
52138,銀魂44,9.6 ,NT$95,东立出版社,https://book.douban.com/subject/10602096/
52143,銀魂05,9.6 ,85(元),东立出版社,https://book.douban.com/subject/3137591/
52144,銀魂04,9.6 ,85(元),东立出版社,https://book.douban.com/subject/3137590/
52145,銀魂06,9.6 ,85(元),东立出版社,https://book.douban.com/subject/3137592/
52146,銀魂07,9.6 ,85(元),东立出版社,https://book.douban.com/subject/3137593/
52148,銀魂08,9.6 ,85(元),东立出版社,https://book.douban.com/subject/3137595/
52205,脂砚斋重评石头记,9.6 ,270.00元,天津古籍出版社,https://book.douban.com/subject/1968812/
52228,藤子·F·不二雄SF短篇完全版1,9.6 ,新台幣350元,青文,https://book.douban.com/subject/3057111/
52277,ワイド版風の谷のナウシカ7巻セット「トルメキア戦役バージョン」,9.6 ,JPY27.80,徳間書店,https://book.douban.com/subject/2216803/
52366,少年同盟10,9.6 ,NT$95,东立出版社,https://book.douban.com/subject/10572301/
52369,少年同盟3,9.6 ,NT95,东立出版社,https://book.douban.com/subject/3024578/
52395,NANA(19),9.6 ,410日元,集英社,https://book.douban.com/subject/3153744/
52396,NANA(16),9.6 ,480日元,集英社,https://book.douban.com/subject/3136528/
52402,多重人格探偵サイコ(14),9.6 ,609円（税込）,角川書店,https://book.douban.com/subject/4185072/
52478,文選（全六冊）,9.6 ,238.00元,上海古籍出版社,https://book.douban.com/subject/2092778/
52508,宇宙兄弟（3）,9.6 ,JPY580,講談社,https://book.douban.com/subject/5407124/
52545,夏目友人帳13,9.6 ,JPY420,白泉社,https://book.douban.com/subject/7068055/
